time,places,tweet
2023-02-17 22:28:21,United States,"BREAKING: Dozens of workers are fired from a Tesla factory in Buffalo, New York after organizing to form a union — a disgusting display of Elon Musk’s corporate greed. RT IF YOU SUPPORT HITTING TESLA WITH A MASSIVE FINE!"
2023-02-17 18:59:09,,"NEW: Not only did Tesla fire 30 workers at its unionizing gigafactory in Buffalo, it also lied to them about it.

That morning, Tesla managers announced there’d be an employee benefits workshop.

When they went in, they were terminated. https://t.co/IiFPLv9q8q"
2023-02-19 01:52:26,Swamp,"For 5 years, our house has been running continuously from a wrecked Tesla Model S car battery that I rewired and reprogrammed. It’s charged with solar panels during the day. This interview is from 5 years ago. @elonmusk, please sell us powerwalls off grid!
https://t.co/8wABGuwc1i"
2023-02-19 11:29:19,,Tesla going global quickly. BYD expansion out of China seems slow. Tesla much bigger global Brand already. https://t.co/sp7Vbz2aDC
2023-02-19 11:29:04,"Chicago, IL",@Jamestoupin I don't trust the Autopilot technology. It's too new and obviously hasn't been perfected yet. I wouldn't drive a Tesla if they paid me.
2023-02-19 11:29:04,,@Reds_Fan3 @Ryan4Tesla7 @bostontranspla1 @jasondebolt It sounds like you have completely discounted megacasting and ignored falling commodiry prices such as lithium. Did you listen when the Volkswagon CEO spoke of Tesla building an EV in 10 hours when it takes them 30?
2023-02-19 11:29:00,North America,"Tesla Will Recall Over 360000 Cars With FSD Beta

More Info Here:
https://t.co/xmIPswZiZ7

#tesla #teslanews #teslaupdate #news #tsla https://t.co/p1BWCey9qr"
2023-02-19 11:28:54,,"MahaShivratri is not related to religion…. Yeah, like Newton is not related to gravitational laws, Einstein is not related to theory of relativity, Tesla is not related to AC, Heisenberg is not related to the uncertainty principle…. https://t.co/RLFrkvB9SE"
2023-02-19 11:28:48,,@kairunoburogu @FRZR_r18 Me “driving” my Tesla
2023-02-19 11:28:41,Chicago,Elon Musk promised a lot with the $TSLA Tesla Semi. Here’s how it stacks up now that it’s finally here   https://t.co/0MsxOLSXHA
2023-02-19 11:28:35,,"@yourcryptodj Yo bro, I've got my eyes on the #OptimusAI token, It's the future of #DeFi, Don't sleep on this mate,Ape maximally
I'm Bullish!
#Tesla #AI $TSLA #OptimusAIEth #OptimusEth #OptimusAIEth 
@OptimusAI_Token

https://t.co/TLi0sNJLwd https://t.co/oZOybXVuxp"
2023-02-19 11:28:33,Portugal,"No participations this time. Here is the new #Tesla Gigafactory being built in Texas in 21st January 2022 in full force. To add, compare it with the video collected in the exact same day: https://t.co/WDmLRxBoo1"
2023-02-19 11:28:24,USA,"Love this :) 
🐻‍❄️🐺🐺🐺🤍
@Tesla @Tesla_Megapack https://t.co/nZcAThVX6W"
2023-02-19 11:28:22,"Wollongong, New South Wales",@elonmusk Tesla AI would be contextually aware ? Will it be politically correct
2023-02-19 11:28:15,Washington DC,@MP_InTheMoney @SawyerMerritt @Tesla Method of fix absolutely makes the problem better. Most car owners are far more frustrated and upset over the inconvenience of the recall fix than they are the problem.
2023-02-19 11:28:12,"Abilene, TX","@elonmusk Just how interested are you in AI?
What if  #Tesla could talk to #OpenAI #ChatGPT and #BingAI all at the same time in a community forum free from human interaction with self-governance and accountability control?
Needs testing environment 1st also includes kill switch. https://t.co/CLMj9I6ucR"
2023-02-19 11:28:06,,"Tesla driver killed after barreling into ladder truck blocking accident scene on California freeway - 

https://t.co/2ibjCvhtOH"
2023-02-19 11:27:56,Florida,"@lexfridman Forza Horizon 5 is pretty great (also, FH4). Racing around Guanajuato in a Lambo Sesto Elemento is always fun. The sad part is, you can't buy many electric cars in FH5, but there are rumors that the Tesla Roadster is coming."
2023-02-19 11:27:43,,"@FabriLemus7 Yo mate
Check out the future of #Defi!
It's #OptimusAI
This is a golden opportunity bud, don't sleep on it
#Tesla #AI $TSLA #OptimusAIEth #OptimusEth #OptimusAIEth 
@OptimusAI_Token

https://t.co/TLi0sNJLwd https://t.co/Bd5YfSPHe6"
2023-02-19 11:27:36,,"@SF___Tahoe Ross has no fucks to give to tesla employees anywhere,   He wants in to represent institutional investors even though he cringes and claims retail investors.  His single purpose is increasing share price.   Period."
